Order_ID,Date,Plant_ID,Plant_Name,Plant_Capacity,Remaining Inventory level,Distribution_Center_ID,Distribution_Center_Name,Demand,Supply,Unit_Cost,Quantity_Shipped,Shipping_Cost,Fulfillment_Status,Demand_Surplus,Demand_Surplus_Status
1,2024-01-01,P1,Plant A,1609,275,DC1,Distribution Center 1,1334,1334,5.65,1334,7537.1,Fulfilled,0,Filled
2,2024-01-01,P1,Plant A,1609,0,DC2,Distribution Center 2,948,275,3.99,275,1097.25,Fulfilled,673,Partially Filled
3,2024-01-01,P2,Plant B,1629,388,DC1,Distribution Center 1,1241,1241,5.57,1241,6912.370000000001,Fulfilled,0,Filled
4,2024-01-01,P2,Plant B,1629,0,DC2,Distribution Center 2,504,388,5.73,388,2223.2400000000002,Fulfilled,116,Partially Filled
5,2024-01-02,P1,Plant A,1986,1211,DC1,Distribution Center 1,775,775,5.97,775,4626.75,Fulfilled,0,Filled
6,2024-01-02,P1,Plant A,1986,127,DC2,Distribution Center 2,1084,1084,5.96,1084,6460.64,Fulfilled,0,Filled
7,2024-01-02,P1,Plant A,1986,0,DC3,Distribution Center 3,1472,127,3.82,127,485.14,Fulfilled,1345,Partially Filled
8,2024-01-02,P2,Plant B,1821,716,DC1,Distribution Center 1,1105,1105,6.02,1105,6652.099999999999,Fulfilled,0,Filled
9,2024-01-02,P2,Plant B,1821,0,DC2,Distribution Center 2,1015,716,4.87,716,3486.92,Fulfilled,299,Partially Filled
10,2024-01-03,P1,Plant A,1568,1001,DC1,Distribution Center 1,567,567,5.78,567,3277.26,Fulfilled,0,Filled
11,2024-01-03,P1,Plant A,1568,0,DC2,Distribution Center 2,1526,1001,5.81,1001,5815.8099999999995,Fulfilled,525,Partially Filled
12,2024-01-03,P2,Plant B,2288,1012,DC1,Distribution Center 1,1276,1276,5.91,1276,7541.16,Fulfilled,0,Filled
13,2024-01-03,P2,Plant B,2288,71,DC2,Distribution Center 2,941,941,5.64,941,5307.24,Fulfilled,0,Filled
14,2024-01-03,P2,Plant B,2288,0,DC3,Distribution Center 3,1082,71,6.04,71,428.84,Fulfilled,1011,Partially Filled
15,2024-01-04,P1,Plant A,2338,1750,DC1,Distribution Center 1,588,588,5.06,588,2975.2799999999997,Fulfilled,0,Filled
16,2024-01-04,P1,Plant A,2338,396,DC2,Distribution Center 2,1354,1354,4.89,1354,6621.0599999999995,Fulfilled,0,Filled
17,2024-01-04,P1,Plant A,2338,0,DC3,Distribution Center 3,1143,396,5.35,396,2118.6,Partially Fulfilled,747,Partially Filled
18,2024-01-04,P2,Plant B,1241,670,DC1,Distribution Center 1,571,571,4.05,571,2312.5499999999997,Fulfilled,0,Filled
19,2024-01-04,P2,Plant B,1241,0,DC2,Distribution Center 2,1058,670,4.37,670,2927.9,Fulfilled,388,Partially Filled
20,2024-01-05,P1,Plant A,2622,1909,DC1,Distribution Center 1,713,713,4.6,713,3279.7999999999997,Fulfilled,0,Filled
21,2024-01-05,P1,Plant A,2622,1064,DC2,Distribution Center 2,845,845,5.12,845,4326.4,Fulfilled,0,Filled
22,2024-01-05,P1,Plant A,2622,347,DC3,Distribution Center 3,717,717,5.76,717,4129.92,Fulfilled,0,Filled
23,2024-01-05,P2,Plant B,2758,1326,DC1,Distribution Center 1,1495,1432,4.73,1432,6773.360000000001,Fulfilled,63,Partially Filled
24,2024-01-05,P2,Plant B,2758,132,DC2,Distribution Center 2,1194,1194,3.84,1194,4584.96,Fulfilled,0,Filled
25,2024-01-05,P2,Plant B,2758,0,DC3,Distribution Center 3,1401,132,5.58,132,736.5600000000001,Fulfilled,1269,Partially Filled
26,2024-01-06,P1,Plant A,2888,1899,DC1,Distribution Center 1,989,989,4.75,989,4697.75,Fulfilled,0,Filled
27,2024-01-06,P1,Plant A,2888,643,DC2,Distribution Center 2,1256,1256,6.03,1256,7573.68,Fulfilled,0,Filled
28,2024-01-06,P1,Plant A,2888,0,DC3,Distribution Center 3,1277,643,4.87,643,3131.41,Partially Fulfilled,634,Partially Filled
29,2024-01-06,P2,Plant B,2203,1150,DC1,Distribution Center 1,1053,1053,4.94,1053,5201.820000000001,Fulfilled,0,Filled
30,2024-01-06,P2,Plant B,2203,589,DC2,Distribution Center 2,561,561,4.34,561,2434.74,Fulfilled,0,Filled
31,2024-01-06,P2,Plant B,2203,0,DC3,Distribution Center 3,1182,589,5.02,589,2956.7799999999997,Fulfilled,593,Partially Filled
32,2024-01-07,P1,Plant A,2867,1943,DC1,Distribution Center 1,924,924,5.16,924,4767.84,Fulfilled,0,Filled
33,2024-01-07,P1,Plant A,2867,805,DC2,Distribution Center 2,1330,1138,5.21,1138,5928.98,Fulfilled,192,Partially Filled
34,2024-01-07,P1,Plant A,2867,0,DC3,Distribution Center 3,1181,805,3.69,805,2970.45,Fulfilled,376,Partially Filled
35,2024-01-07,P2,Plant B,2835,1939,DC1,Distribution Center 1,896,896,4.33,896,3879.6800000000003,Fulfilled,0,Filled
36,2024-01-07,P2,Plant B,2835,1176,DC2,Distribution Center 2,763,763,4.02,763,3067.2599999999998,Fulfilled,0,Filled
37,2024-01-07,P2,Plant B,2835,662,DC3,Distribution Center 3,514,514,5.18,514,2662.52,Fulfilled,0,Filled
38,2024-01-08,P1,Plant A,2167,993,DC1,Distribution Center 1,1174,1174,5.11,1174,5999.14,Fulfilled,0,Filled
39,2024-01-08,P1,Plant A,2167,0,DC2,Distribution Center 2,1453,993,5.83,993,5789.1900000000005,Partially Fulfilled,460,Partially Filled
40,2024-01-08,P2,Plant B,2468,1726,DC1,Distribution Center 1,742,742,5.05,742,3747.1,Fulfilled,0,Filled
41,2024-01-08,P2,Plant B,2468,684,DC2,Distribution Center 2,1042,1042,5.39,1042,5616.38,Fulfilled,0,Filled
42,2024-01-08,P2,Plant B,2468,0,DC3,Distribution Center 3,1318,684,4.73,684,3235.32,Fulfilled,634,Partially Filled
43,2024-01-09,P1,Plant A,2318,1654,DC1,Distribution Center 1,664,664,4.65,664,3087.6000000000004,Fulfilled,0,Filled
44,2024-01-09,P1,Plant A,2318,1032,DC2,Distribution Center 2,622,622,4.14,622,2575.08,Fulfilled,0,Filled
45,2024-01-09,P1,Plant A,2318,0,DC3,Distribution Center 3,1399,1032,5.02,1032,5180.639999999999,Fulfilled,367,Partially Filled
46,2024-01-09,P2,Plant B,1866,1378,DC1,Distribution Center 1,488,488,4.58,488,2235.04,Fulfilled,0,Filled
47,2024-01-09,P2,Plant B,1866,130,DC2,Distribution Center 2,1380,1248,4.68,1248,5840.639999999999,Fulfilled,132,Partially Filled
48,2024-01-09,P2,Plant B,1866,0,DC3,Distribution Center 3,897,130,4.79,130,622.7,Fulfilled,767,Partially Filled
49,2024-01-10,P1,Plant A,1976,1189,DC1,Distribution Center 1,787,787,5.15,787,4053.05,Fulfilled,0,Filled
50,2024-01-10,P1,Plant A,1976,681,DC2,Distribution Center 2,508,508,5.14,508,2611.12,Fulfilled,0,Filled
51,2024-01-10,P1,Plant A,1976,0,DC3,Distribution Center 3,781,681,4.47,681,3044.0699999999997,Fulfilled,100,Partially Filled
52,2024-01-10,P2,Plant B,2600,1642,DC1,Distribution Center 1,958,958,5.01,958,4799.58,Fulfilled,0,Filled
53,2024-01-10,P2,Plant B,2600,1064,DC2,Distribution Center 2,578,578,5.05,578,2918.9,Fulfilled,0,Filled
54,2024-01-10,P2,Plant B,2600,449,DC3,Distribution Center 3,615,615,5.16,615,3173.4,Fulfilled,0,Filled
55,2024-01-11,P1,Plant A,1301,736,DC1,Distribution Center 1,565,565,4.88,565,2757.2,Fulfilled,0,Filled
56,2024-01-11,P1,Plant A,1301,0,DC2,Distribution Center 2,995,736,4.28,736,3150.0800000000004,Fulfilled,259,Partially Filled
57,2024-01-11,P2,Plant B,2388,1393,DC1,Distribution Center 1,995,995,5.19,995,5164.05,Fulfilled,0,Filled
58,2024-01-11,P2,Plant B,2388,489,DC2,Distribution Center 2,904,904,4.47,904,4040.8799999999997,Fulfilled,0,Filled
59,2024-01-11,P2,Plant B,2388,0,DC3,Distribution Center 3,1330,489,5.9,489,2885.1000000000004,Fulfilled,841,Partially Filled
60,2024-01-12,P1,Plant A,2326,1407,DC1,Distribution Center 1,919,919,4.75,919,4365.25,Fulfilled,0,Filled
61,2024-01-12,P1,Plant A,2326,607,DC2,Distribution Center 2,800,800,5.53,800,4424.0,Fulfilled,0,Filled
62,2024-01-12,P1,Plant A,2326,0,DC3,Distribution Center 3,1168,607,3.84,607,2330.88,Fulfilled,561,Partially Filled
63,2024-01-12,P2,Plant B,1649,458,DC1,Distribution Center 1,1191,1191,6.45,1191,7681.95,Fulfilled,0,Filled
64,2024-01-12,P2,Plant B,1649,0,DC2,Distribution Center 2,722,458,6.07,458,2780.06,Fulfilled,264,Partially Filled
65,2024-01-13,P1,Plant A,1779,1157,DC1,Distribution Center 1,622,622,5.27,622,3277.9399999999996,Fulfilled,0,Filled
66,2024-01-13,P1,Plant A,1779,600,DC2,Distribution Center 2,557,557,5.6,557,3119.2,Fulfilled,0,Filled
67,2024-01-13,P1,Plant A,1779,0,DC3,Distribution Center 3,1312,600,5.07,600,3042.0,Fulfilled,712,Partially Filled
68,2024-01-13,P2,Plant B,2078,1142,DC1,Distribution Center 1,936,936,4.34,936,4062.24,Fulfilled,0,Filled
69,2024-01-13,P2,Plant B,2078,237,DC2,Distribution Center 2,905,905,5.52,905,4995.599999999999,Fulfilled,0,Filled
70,2024-01-13,P2,Plant B,2078,0,DC3,Distribution Center 3,1035,237,5.68,237,1346.1599999999999,Fulfilled,798,Partially Filled
71,2024-01-14,P1,Plant A,1814,512,DC1,Distribution Center 1,1302,1302,4.41,1302,5741.820000000001,Fulfilled,0,Filled
72,2024-01-14,P1,Plant A,1814,0,DC2,Distribution Center 2,1116,512,4.75,512,2432.0,Fulfilled,604,Partially Filled
73,2024-01-14,P2,Plant B,2324,1469,DC1,Distribution Center 1,855,855,5.3,855,4531.5,Fulfilled,0,Filled
74,2024-01-14,P2,Plant B,2324,638,DC2,Distribution Center 2,831,831,5.38,831,4470.78,Fulfilled,0,Filled
75,2024-01-14,P2,Plant B,2324,0,DC3,Distribution Center 3,946,638,4.51,638,2877.3799999999997,Fulfilled,308,Partially Filled
76,2024-01-15,P1,Plant A,2080,976,DC1,Distribution Center 1,1104,1104,5.38,1104,5939.5199999999995,Fulfilled,0,Filled
77,2024-01-15,P1,Plant A,2080,190,DC2,Distribution Center 2,786,786,5.69,786,4472.34,Fulfilled,0,Filled
78,2024-01-15,P1,Plant A,2080,0,DC3,Distribution Center 3,928,190,6.43,190,1221.7,Fulfilled,738,Partially Filled
79,2024-01-15,P2,Plant B,2401,1393,DC1,Distribution Center 1,1281,1008,4.9,1008,4939.200000000001,Fulfilled,273,Partially Filled
80,2024-01-15,P2,Plant B,2401,68,DC2,Distribution Center 2,1553,1325,5.55,1325,7353.75,Fulfilled,228,Partially Filled
81,2024-01-15,P2,Plant B,2401,0,DC3,Distribution Center 3,765,68,4.99,68,339.32,Fulfilled,697,Partially Filled
82,2024-01-16,P1,Plant A,2109,1102,DC1,Distribution Center 1,1497,1007,4.75,1007,4783.25,Fulfilled,490,Partially Filled
83,2024-01-16,P1,Plant A,2109,207,DC2,Distribution Center 2,895,895,4.49,895,4018.55,Fulfilled,0,Filled
84,2024-01-16,P1,Plant A,2109,0,DC3,Distribution Center 3,823,207,4.24,207,877.6800000000001,Fulfilled,616,Partially Filled
85,2024-01-16,P2,Plant B,1983,584,DC1,Distribution Center 1,1399,1399,5.39,1399,7540.61,Fulfilled,0,Filled
86,2024-01-16,P2,Plant B,1983,0,DC2,Distribution Center 2,1343,584,5.21,584,3042.64,Fulfilled,759,Partially Filled
87,2024-01-17,P1,Plant A,2093,768,DC1,Distribution Center 1,1368,1325,6.06,1325,8029.499999999999,Fulfilled,43,Partially Filled
88,2024-01-17,P1,Plant A,2093,0,DC2,Distribution Center 2,1366,768,5.95,768,4569.6,Fulfilled,598,Partially Filled
89,2024-01-17,P2,Plant B,1997,748,DC1,Distribution Center 1,1249,1249,5.6,1249,6994.4,Fulfilled,0,Filled
90,2024-01-17,P2,Plant B,1997,0,DC2,Distribution Center 2,1438,748,5.25,748,3927.0,Fulfilled,690,Partially Filled
91,2024-01-18,P1,Plant A,2326,1375,DC1,Distribution Center 1,951,951,4.96,951,4716.96,Fulfilled,0,Filled
92,2024-01-18,P1,Plant A,2326,334,DC2,Distribution Center 2,1508,1041,5.39,1041,5610.99,Fulfilled,467,Partially Filled
93,2024-01-18,P1,Plant A,2326,0,DC3,Distribution Center 3,1540,334,5.56,334,1857.04,Fulfilled,1206,Partially Filled
