Order_ID,Date,Plant_ID,Plant_Name,Plant_Capacity,Remaining Inventory level,Distribution_Center_ID,Distribution_Center_Name,Demand,Supply,Unit_Cost,Quantity_Shipped,Shipping_Cost,Fulfillment_Status,Demand_Surplus,Demand_Surplus_Status
1,2024-01-01,P1,Plant A,3627.7634900000003,2627.7634900000003,DC1,Distribution Center 1,1000,1000.0,6.0,1000.0,6000.0,Fulfilled,0.0,Filled
2,2024-01-01,P1,Plant A,3627.7634900000003,1408.7634900000003,DC2,Distribution Center 2,1219,1219.0,4.73,1219.0,5765.870000000001,Fulfilled,0.0,Filled
3,2024-01-01,P1,Plant A,3627.7634900000003,244.76349000000027,DC3,Distribution Center 3,1164,1164.0,5.06,1164.0,5889.839999999999,Fulfilled,0.0,Filled
4,2024-01-01,P2,Plant B,4084.67213,3463.67213,DC1,Distribution Center 1,621,621.0,5.03,621.0,3123.63,Fulfilled,0.0,Filled
5,2024-01-01,P2,Plant B,4084.67213,2604.67213,DC2,Distribution Center 2,859,859.0,4.98,859.0,4277.820000000001,Fulfilled,0.0,Filled
6,2024-01-01,P2,Plant B,4084.67213,1433.67213,DC3,Distribution Center 3,1171,1171.0,5.94,1171.0,6955.740000000001,Fulfilled,0.0,Filled
7,2024-01-02,P1,Plant A,3802.7634900000003,3119.7634900000003,DC1,Distribution Center 1,683,683.0,5.46,683.0,3729.18,Fulfilled,0.0,Filled
8,2024-01-02,P1,Plant A,3802.7634900000003,2155.7634900000003,DC2,Distribution Center 2,964,964.0,4.39,964.0,4231.96,Fulfilled,0.0,Filled
9,2024-01-02,P1,Plant A,3802.7634900000003,1067.7634900000003,DC3,Distribution Center 3,1284,1088.0,5.59,1088.0,6081.92,Fulfilled,196.0,Partially Filled
10,2024-01-02,P2,Plant B,3177.67213,1963.67213,DC1,Distribution Center 1,1214,1214.0,5.35,1214.0,6494.9,Fulfilled,0.0,Filled
11,2024-01-02,P2,Plant B,3177.67213,1382.67213,DC2,Distribution Center 2,581,581.0,5.04,581.0,2928.2400000000002,Fulfilled,0.0,Filled
12,2024-01-02,P2,Plant B,3177.67213,540.6721299999999,DC3,Distribution Center 3,842,842.0,3.71,842.0,3123.82,Fulfilled,0.0,Filled
13,2024-01-03,P1,Plant A,2724.7634900000003,1556.7634900000003,DC1,Distribution Center 1,1514,1168.0,4.07,1168.0,4753.76,Fulfilled,346.0,Partially Filled
14,2024-01-03,P1,Plant A,2724.7634900000003,310.7634900000003,DC2,Distribution Center 2,1267,1246.0,5.14,1246.0,6404.44,Fulfilled,21.0,Partially Filled
15,2024-01-03,P1,Plant A,2724.7634900000003,0.0,DC3,Distribution Center 3,932,310.7634900000003,4.86,310.7634900000003,1510.3105614000015,Fulfilled,621.2365099999997,Partially Filled
16,2024-01-03,P2,Plant B,2997.67213,2015.67213,DC1,Distribution Center 1,982,982.0,4.73,982.0,4644.860000000001,Fulfilled,0.0,Filled
17,2024-01-03,P2,Plant B,2997.67213,1048.67213,DC2,Distribution Center 2,967,967.0,5.6,967.0,5415.2,Fulfilled,0.0,Filled
18,2024-01-03,P2,Plant B,2997.67213,0.0,DC3,Distribution Center 3,1508,1048.67213,4.83,1048.67213,5065.0863879,Fulfilled,459.3278700000001,Partially Filled
19,2024-01-04,P1,Plant A,3531.7634900000003,2954.7634900000003,DC1,Distribution Center 1,577,577.0,3.73,577.0,2152.21,Fulfilled,0.0,Filled
20,2024-01-04,P1,Plant A,3531.7634900000003,1639.7634900000003,DC2,Distribution Center 2,1315,1315.0,5.22,1315.0,6864.299999999999,Fulfilled,0.0,Filled
21,2024-01-04,P1,Plant A,3531.7634900000003,992.7634900000003,DC3,Distribution Center 3,647,647.0,4.6,647.0,2976.2,Fulfilled,0.0,Filled
22,2024-01-04,P2,Plant B,2460.67213,1690.67213,DC1,Distribution Center 1,770,770.0,3.92,770.0,3018.4,Fulfilled,0.0,Filled
23,2024-01-04,P2,Plant B,2460.67213,650.6721299999999,DC2,Distribution Center 2,1393,1040.0,4.48,1040.0,4659.200000000001,Fulfilled,353.0,Partially Filled
24,2024-01-04,P2,Plant B,2460.67213,0.0,DC3,Distribution Center 3,1330,650.6721299999999,6.27,650.6721299999999,4079.7142550999993,Fulfilled,679.3278700000001,Partially Filled
25,2024-01-05,P1,Plant A,2582.7634900000003,1717.7634900000003,DC1,Distribution Center 1,865,865.0,5.3,865.0,4584.5,Fulfilled,0.0,Filled
26,2024-01-05,P1,Plant A,2582.7634900000003,1163.7634900000003,DC2,Distribution Center 2,554,554.0,4.19,554.0,2321.26,Fulfilled,0.0,Filled
27,2024-01-05,P1,Plant A,2582.7634900000003,0.0,DC3,Distribution Center 3,1352,1163.7634900000003,4.91,1163.7634900000003,5714.078735900001,Fulfilled,188.23650999999973,Partially Filled
28,2024-01-05,P2,Plant B,3211.67213,2682.67213,DC1,Distribution Center 1,529,529.0,4.67,529.0,2470.43,Fulfilled,0.0,Filled
29,2024-01-05,P2,Plant B,3211.67213,1333.67213,DC2,Distribution Center 2,1349,1349.0,4.81,1349.0,6488.69,Fulfilled,0.0,Filled
30,2024-01-05,P2,Plant B,3211.67213,874.6721299999999,DC3,Distribution Center 3,459,459.0,5.44,459.0,2496.96,Fulfilled,0.0,Filled
31,2024-01-06,P1,Plant A,3622.7634900000003,2341.7634900000003,DC1,Distribution Center 1,1281,1281.0,6.13,1281.0,7852.53,Fulfilled,0.0,Filled
32,2024-01-06,P1,Plant A,3622.7634900000003,994.7634900000003,DC2,Distribution Center 2,1347,1347.0,4.58,1347.0,6169.26,Fulfilled,0.0,Filled
